NOME DA ESTACIÓN;ENDEREZO;CONCELLO;CÓDIGO POSTAL;PROVINCIA;TELÉFONO;HORARIO;SOLICITUDE DE CITA PREVIA;CORREO ELECTRÓNICO;COORDENADAS GMAPS
Estación ITV de Ourense;Parque empresarial - Parcela 4 ;Pereiro de Aguiar, O;32710;Ourense;988 259 356;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=ourense;ourense@sycitv.com;42° 19.165', -7° 48.414'
Estación ITV de Verín;Polígono de Pazos - Parcela A-6 ;Verín;32600;Ourense;988 411 539 - 881 920 966;de 8:30 a 14:00 e de 16:00 a 19:30 horas (de luns a venres) e de 8:00 a 14:30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=verin;verin@sycitv.com;41° 55.723', -7° 27.876'
Estación ITV de Xinzo;Parque empresarial Xinzo de Limia - Parcela 47;Xinzo de Limia;32630;Ourense;881 920 492;de 9:00 a 13:30 e de 15:15 a 18:00 horas (de luns a venres);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=xinzo;xinzo@sycitv.com;42° 4.681', -7° 43.362'
Estación ITV de Vigo-Peinador;Avenida do Aeroporto, 770 - Peinador;Vigo;36318;Pontevedra;881 920 322;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=vigo-peinador;peinador@sycitv.com;42° 13.477', -8° 38.200'
Estación ITV de Pontevedra-Bora;Estrada Pontevedra-Ourense, s/n - As Pontes - Santa Mariña - Bora;Pontevedra;36154;Pontevedra;986 865 020;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=pontevedra-bora;pontebora@sycitv.com;42° 26.640', -8° 34.993'
Estación ITV de Vilagarcía  ;Polígono Industrial Trabanca-Badiña - Rúa de Patiño, 27-31;Vilagarcía de Arousa;36600;Pontevedra;881 920 971;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=vilagarcia;villagarcia@sycitv.com;42° 35.800', -8° 44.754'
Estación ITV do Porriño;Polígono Industrial As Gándaras - Parcela 1-1A ;Porriño, O;36418;Pontevedra;986 333 992 - 881 920 325;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-porrino;porrino@sycitv.com;42° 8.108', -8° 37.439'
Estación ITV de Pontevedra-Curro;Estrada Pontevedra - Vilagarcía, km 7,5 - Bretoña - Curro - Santa María;Barro;36191;Pontevedra;986 713 360 - 881 920 969;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=pontevedra-curro;curro@sycitv.com;42° 29.850', -8° 39.161'
Estación ITV de Lalín;Parque empresarial Lalín 2000 - Parcela B-52;Lalín;36500;Pontevedra;986 794 103 - 881 920 970;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=lalin;lalin@sycitv.com;42° 40.534', -8° 9.183'
Estación ITV de Bueu;Polígono Industrial de Castiñeiras - Parcela 32;Bueu;36390;Pontevedra;881 920 493;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=bueu;bueu@sycitv.com;42° 18.347', -8° 47.543'
Estación ITV de Nigrán;Parque empresarial Porto do Molle - Parcela 8.12;Nigrán;36350;Pontevedra;;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=nigran  ;;42.135887,-8.788971
